Suburb,Latitude,Longitude
"Abbotsford, Victoria",-37.80027778,145
"Aberfeldie, Victoria",-37.75111111,144.9
"Aintree, Victoria",-37.71666667,144.6666667
"Airport West, Victoria",-37.71722222,144.8677778
"Albanvale, Victoria",-37.73444444,144.7513889
"Albert Park, Victoria",-37.83416667,144.95
"Albion, Victoria",-37.76805556,144.8013889
"Alphington, Victoria",-37.76777778,145.0172222
"Altona Meadows, Victoria",-37.8675,144.7680556
"Altona North, Victoria",-37.83388889,144.8347222
"Altona, Victoria",-37.86666667,144.8177778
"Ardeer, Victoria",-37.78333333,144.8
"Armadale, Victoria",-37.85055556,145.0169444
"Ascot Vale, Victoria",-37.76777778,144.9166667
"Ashburton, Victoria",-37.86694444,145.0830556
"Ashwood, Victoria",-37.86666667,145.1002778
"Aspendale Gardens, Victoria",-38.01722222,145.1166667
"Aspendale, Victoria",-38.0175,145.1002778
"Attwood, Victoria",-37.65138889,144.8836111
"Avondale Heights, Victoria",-37.75111111,144.8511111
"Balaclava, Victoria",-37.86722222,144.9841667
Balwyn North,-37.78416667,145.0863889
"Balwyn, Victoria",-37.80083333,145.0788889
"Bayswater North, Victoria",-37.8175,145.2677778
"Bayswater, Victoria",-37.83416667,145.2666667
"Beaconsfield, Victoria",-38.03472222,145.3669444
"Beaumaris, Victoria",-37.96805556,145.0341667
"Belgrave Heights, Victoria",-37.91722222,145.3338889
"Belgrave South, Victoria",-37.93388889,145.3505556
"Belgrave, Victoria",-37.90111111,145.3505556
"Bellfield, Victoria",-37.75027778,145.0344444
"Bentleigh East, Victoria",-37.91694444,145.0666667
"Bentleigh, Victoria",-37.91694444,145.0336111
"Berwick, Victoria",-38.01805556,145.3341667
"Bittern, Victoria",-38.33388889,145.1675
"Black Rock, Victoria",-37.96694444,145.0169444
"Blackburn North, Victoria",-37.80083333,145.15
"Blackburn South, Victoria",-37.83361111,145.1341667
"Blackburn, Victoria",-37.8175,145.15
"Blairgowrie, Victoria",-38.35083333,144.7666667
"Bonbeach, Victoria",-38.05111111,145.1169444
